dimension=3
xi=100
eta=10
zeta=10
x                    y                    z                   
0.000000             0.000000             0.000000            
0.000000             0.000000             0.011111            
0.000000             0.000000             0.022222            
0.000000             0.000000             0.033333            
0.000000             0.000000             0.044444            
0.000000             0.000000             0.055556            
0.000000             0.000000             0.066667            
0.000000             0.000000             0.077778            
0.000000             0.000000             0.088889            
0.000000             0.000000             0.100000            
0.000000             0.011111             0.000000            
0.000000             0.011111             0.011111            
0.000000             0.011111             0.022222            
0.000000             0.011111             0.033333            
0.000000             0.011111             0.044444            
0.000000             0.011111             0.055556            
0.000000             0.011111             0.066667            
0.000000             0.011111             0.077778            
0.000000             0.011111             0.088889            
0.000000             0.011111             0.100000            
0.000000             0.022222             0.000000            
0.000000             0.022222             0.011111            
0.000000             0.022222             0.022222            
0.000000             0.022222             0.033333            
0.000000             0.022222             0.044444            
0.000000             0.022222             0.055556            
0.000000             0.022222             0.066667            
0.000000             0.022222             0.077778            
0.000000             0.022222             0.088889            
0.000000             0.022222             0.100000            
0.000000             0.033333             0.000000            
0.000000             0.033333             0.011111            
0.000000             0.033333             0.022222            
0.000000             0.033333             0.033333            
0.000000             0.033333             0.044444            
0.000000             0.033333             0.055556            
0.000000             0.033333             0.066667            
0.000000             0.033333             0.077778            
0.000000             0.033333             0.088889            
0.000000             0.033333             0.100000            
0.000000             0.044444             0.000000            
0.000000             0.044444             0.011111            
0.000000             0.044444             0.022222            
0.000000             0.044444             0.033333            
0.000000             0.044444             0.044444            
0.000000             0.044444             0.055556            
0.000000             0.044444             0.066667            
0.000000             0.044444             0.077778            
0.000000             0.044444             0.088889            
0.000000             0.044444             0.100000            
0.000000             0.055556             0.000000            
0.000000             0.055556             0.011111            
0.000000             0.055556             0.022222            
0.000000             0.055556             0.033333            
0.000000             0.055556             0.044444            
0.000000             0.055556             0.055556            
0.000000             0.055556             0.066667            
0.000000             0.055556             0.077778            
0.000000             0.055556             0.088889            
0.000000             0.055556             0.100000            
